topic_code,type,title,provider,url,duration,notes,is_primary,rank,pace,lod,breadth,dok,wida,visuals,series,prereq,video_id
10A,video,Asexual vs Sexual Reproduction,Amoeba Sisters,https://www.youtube.com/watch?v=fJ-C6e2EfMU,~7 min,Clear comparison; genetic variation,yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0384
10A,video,Bacteria (Updated),Amoeba Sisters,https://www.youtube.com/watch?v=sDLfUagbqbU,~8 min,Binary fission; helpful vs harmful,yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0309
10A,video,Plant Reproduction in Angiosperms,Amoeba Sisters,https://www.youtube.com/watch?v=vdWJ2UiXf_o,~7 min,Life cycle; fruit formation,yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0387
10A,video,What Is Symbiosis?,Stated Clearly,https://www.youtube.com/watch?v=zBL4ZnFUKT8,~8 min,,yes,1,slow,shallow,,,3,high,Stated Clearly,,V0019
10A,video,Coral Bleaching Animation,HHMI BioInteractive,https://www.biointeractive.org/classroom-resources/coral-bleaching,~3 min,,yes,1,,shallow,,,3,high,,,V0083
10A,video,Ecological Relationships,Amoeba Sisters,https://www.youtube.com/watch?v=rNjPI84sApQ,~7 min,"Clear examples; mutualism, parasitism, commensalism",yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0315
10A,video,Biomagnification,Amoeba Sisters,https://www.youtube.com/watch?v=MXMqEfSn1p4,~6 min,Clear concentration increase; food chain,yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0317
10A,video,The Ozone Layer: Our Planetary Shield,NASA Climate Kids,https://climatekids.nasa.gov/ozone-layer/,,"Pre-teach: CFCs, stratosphere, UV-B radiation.",yes,1,,shallow,,,3,high,,,V0407
10A,video,Sustainable Forestry,PBS Terra,https://www.youtube.com/watch?v=YPvlGnYZQDY,,Connection to carbon sequestration and biodiversity.,yes,1,,shallow,,,3,,,,V0429
10A,video,Greenhouse Effect,PhET,https://phet.colorado.edu/en/simulations/greenhouse-effect,Interactive,"Pre-teach: infrared radiation, photon absorption.",yes,1,slow,shallow,,,3,high,,,V0439
10A,video,Ecosystem Ecology,Bozeman Science,https://www.youtube.com/watch?v=sjE-Pkjp3u4,~14 min,"NPP, GPP; matter cycling",,,medium,medium,,,4,high,Bozeman Science,,V0340
10A,video,Ecosystem Ecology,Crash Course Ecology,https://www.youtube.com/watch?v=v6ubvEJ3KGM,~11 min,0.75x recommended; trophic levels,,,fast,medium,,,4,medium,Crash Course Ecology,,V0378
10A,video,Episode 26 - Chemical Reactions: How Are You Alive Right Now?,HHMI BioInteractive - Crash Course Biology,https://www.biointeractive.org/CrashCourse/biology-26,Unknown,"Pre-teach: reactant, product, activation energy, catalyst; quick vocabulary box on board helps.",,,fast,medium,,,4,high,Crash Course,,V0001
10A,video,Photosynthesis From Space,California Academy of Sciences,https://www.calacademy.org/educators/photosynthesis-from-space,Unknown,"Pre-teach: carbon sequestration, seasonal shifts.",,,,medium,,,4,high,,,V0403
10A,video,Introduction to Ecology,Khan Academy,https://www.khanacademy.org/science/biology/ecology/intro-to-ecology/v/ecology-introduction,~8 min,Foundation for ecology unit,,,medium,medium,,,4,high,,,V0358
10A,video,Community Ecology,Crash Course Ecology,https://www.youtube.com/watch?v=ysa5OBhXz-Q,~10 min,0.75x recommended; symbiosis,,,fast,medium,,,4,medium,Crash Course Ecology,,V0377
10A,video,The Living Soil Beneath Our Feet,California Academy of Sciences,https://www.calacademy.org/educators/lesson-plans/the-living-soil-beneath-our-feet,,"Pre-teach: mycorrhizae, decomposition.",,,,medium,,,4,high,,,V0402
10A,video,How Quickly Do Ships Cross Oceans?,California Academy of Sciences,https://www.calacademy.org/educators/how-quickly-do-ships-cross-oceans,,"Pre-teach: vector, invasive species.",,,,medium,,,4,,,,V0404
10A,video,Coral Reefs: Polyps and Symbiosis,California Academy of Sciences,https://www.calacademy.org/educators/coral-reefs,,"Pre-teach: zooxanthellae, mutualism, bleaching.",,,,medium,,,4,high,,,V0408
10A,video,En-ROADS Climate Simulator,Climate Interactive,https://en-roads.climateinteractive.org/,Interactive,"Complex; use for ""Climate Summit"" roleplay. Focus on 2-3 sliders only.",,,,medium,,,4,,,,V0435
10A,video,Plate Tectonics,PhET,https://phet.colorado.edu/en/simulations/plate-tectonics,Interactive,"Pre-teach: subduction, crust density, convection.",,,slow,medium,,,4,,,,V0440
10A,simulation,Balancing Chemical Equations,PhET,https://phet.colorado.edu/en/simulations/balancing-chemical-equations,Interactive,Pre-teach: balance coefficient atom. Game mode for practice.,,,slow,,,,,,,,
10B,video,Digestive System,Amoeba Sisters,https://www.youtube.com/watch?v=v7eV1sjOYJM,~8 min,Journey through GI tract; enzymes,yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0320
10B,video,Enzymes (Updated),Amoeba Sisters,https://www.youtube.com/watch?v=qgVFkRn8f10,~8 min,Clear examples; lock and key vs induced fit,yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0287
10B,lab,Enzyme Catalase Virtual Lab,Cornell CIBT,https://blogs.cornell.edu/cibt/labs/high-school/,30-45 min,Pre-teach: substrate catalyst active site. Digital lab procedure.,yes,1,,,,,,,,,
10B,video,DNA Replication,Bozeman Science,https://www.youtube.com/watch?v=6gUY5NoX1Lk,~14 min,Meselson-Stahl; leading/lagging,,,medium,medium,,,4,high,Bozeman Science,,V0328
10B,video,DNA Replication (Advanced Detail),HHMI BioInteractive,https://www.biointeractive.org/classroom-resources/dna-replication-advanced-detail,~8 min,"Pre-teach: helicase, primase, ligase; Okazaki fragments",,,,deep,,,5,high,,,V0035
10B,video,Enzymes,Bozeman Science,https://www.youtube.com/watch?v=ok9esggzN18,~12 min,More detail than Amoeba; graphs,,,medium,medium,,,4,high,Bozeman Science,,V0323
10B,video,Episode 26 - Chemical Reactions: How Are You Alive Right Now?,HHMI BioInteractive - Crash Course Biology,https://www.biointeractive.org/CrashCourse/biology-26,Unknown,"Pre-teach: reactant, product, activation energy, catalyst; quick vocabulary box on board helps.",,,fast,medium,,,4,high,Crash Course,,V0001
11A1,video,Cell Size and Scale,Learn.Genetics Utah,https://learn.genetics.utah.edu/content/cells/scale/,varies,None - interactive zoom,yes,1,slow,shallow,,,3,high,,,V0058
11A1,video,Eukaryotic Cells Part 1,Professor Dave Explains,https://www.youtube.com/watch?v=4OpBylwH9DU,11:26,,yes,1,medium,shallow,,,3,high,,,V0046
11A1,video,Introduction to Cells: The Grand Cell Tour,Amoeba Sisters,youtube.com/watch?v=8IlzKri08kk,~5 min,"Prokaryotic vs eukaryotic, cell theory, organelles overview",yes,1,slow,shallow,,,3,,Amoeba Sisters Cell Series,,V0198
11A1,video,Prokaryotic Cells,Professor Dave Explains,https://www.youtube.com/watch?v=PBz-JJKhgWc,9:12,,yes,1,medium,shallow,,,3,high,,,V0045
11A1,video,The Wacky History of Cell Theory,TED-Ed,https://www.youtube.com/watch?v=4OpzGIGR9Vw,~5 min,,yes,1,,shallow,,,3,high,,,V0062
11A1,video,What Is a Cell?,Stated Clearly,https://www.youtube.com/watch?v=URUJD5NEXC8,~7 min,Excellent intro; clear visuals,yes,1,slow,shallow,,,3,high,Stated Clearly,,V0281
11A1,video,Prokaryotic vs Eukaryotic Cells (Updated),Amoeba Sisters,https://www.youtube.com/watch?v=Pxujitlv8wc,~7 min,Clear comparison chart; membrane-bound organelles,yes,1,slow,shallow,,,3,high,Amoeba Sisters Cell Series,,V0288
11A1,video,A Tour of the Cell,Bozeman Science,youtube.com/watch?v=cj8dDTHGJBY,~11 min,"Comprehensive cell structure, organelles, functions",,,medium,medium,,,4,,Bozeman Science,,V0199
11A1,video,Cellular Organelles,Bozeman Science (043),youtube.com/watch?v=Hmwvj9X4GNY,~8 min,"Detailed organelle functions: nucleus, ER, ribosomes, golgi, mitochondria",,,medium,medium,,,4,,Bozeman Science,,V0200
11A1,video,Water Potential,Bozeman Science,https://www.youtube.com/watch?v=Z0XFPT19MT8,~9 min,AP-level detail; calculations,,,medium,medium,,,4,high,Bozeman Science,,V0324
11A1,video,Inner Life of a Cell,Harvard/XVIVO,https://www.youtube.com/watch?v=wJyUtbn0O5Y,~8 min,Stunning but fast; no narration; advanced,,,,deep,,,5,high,,,V0362
11A1,video,Endomembrane system,Khan Academy,https://www.youtube.com/watch?v=vC-cEWJxDRY,~12 min,"Covers ER, Golgi apparatus, vesicles, nuclear envelope. Pre-teach: organelle, membrane.",,,medium,medium,,,4,,,,V0466
11A1,video,A Tour of the Cell,Bozeman Science,https://www.youtube.com/watch?v=1Z9pqST72is,~15 min,"Covers prokaryote, eukaryote differences, cell structures, plant vs animal cell comparison.",,,medium,medium,,,4,,Bozeman Science,,V0484
11A1,video,A Tour of the Cell: Crash Course Biology #23,Crash Course,https://www.youtube.com/watch?v=jsDxw63QqK0,~13 min,"Pre-teach: prokaryote, eukaryote, nucleus, organelle, cell theory",,,fast,medium,,,4,high,Crash Course Biology,,V0525
11A2,video,Cell Size and Scale,Learn.Genetics Utah,https://learn.genetics.utah.edu/content/cells/scale/,varies,None - interactive zoom,yes,1,slow,shallow,,,3,high,,,V0058
11A2,video,Eukaryotic Cells Part 1,Professor Dave Explains,https://www.youtube.com/watch?v=4OpBylwH9DU,11:26,,yes,1,medium,shallow,,,3,high,,,V0046
11A2,video,Introduction to Cells: The Grand Cell Tour,Amoeba Sisters,youtube.com/watch?v=8IlzKri08kk,~5 min,"Prokaryotic vs eukaryotic, cell theory, organelles overview",yes,1,slow,shallow,,,3,,Amoeba Sisters Cell Series,,V0198
11A2,video,Prokaryotic Cells,Professor Dave Explains,https://www.youtube.com/watch?v=PBz-JJKhgWc,9:12,,yes,1,medium,shallow,,,3,high,,,V0045
11A2,video,What Is a Cell?,Stated Clearly,https://www.youtube.com/watch?v=URUJD5NEXC8,~7 min,Excellent intro; clear visuals,yes,1,slow,shallow,,,3,high,Stated Clearly,,V0281
11A2,video,Prokaryotic vs Eukaryotic Cells (Updated),Amoeba Sisters,https://www.youtube.com/watch?v=Pxujitlv8wc,~7 min,Clear comparison chart; membrane-bound organelles,yes,1,slow,shallow,,,3,high,Amoeba Sisters Cell Series,,V0288
11A2,interactive,Photosynthesis Interactive,BioMan Biology,https://biomanbio.com/HTML5GamesandLabs/PhotoRespgames/photointeractivehtml5page.html,Interactive,Pre-teach: mitochondria chloroplast ATP. Drag and drop energy organelles.,yes,1,,,,,,,,,
11A2,video,A Tour of the Cell,Bozeman Science,youtube.com/watch?v=cj8dDTHGJBY,~11 min,"Comprehensive cell structure, organelles, functions",,,medium,medium,,,4,,Bozeman Science,,V0199
11A2,video,Cellular Organelles,Bozeman Science (043),youtube.com/watch?v=Hmwvj9X4GNY,~8 min,"Detailed organelle functions: nucleus, ER, ribosomes, golgi, mitochondria",,,medium,medium,,,4,,Bozeman Science,,V0200
11A2,video,Photosynthesis and Respiration,Bozeman Science,https://www.youtube.com/watch?v=0UzMaoaXKaM,~14 min,Detailed connection; energy flow,,,medium,medium,,,4,high,Bozeman Science,,V0327
11A2,video,Water Potential,Bozeman Science,https://www.youtube.com/watch?v=Z0XFPT19MT8,~9 min,AP-level detail; calculations,,,medium,medium,,,4,high,Bozeman Science,,V0324
11A2,video,Inner Life of a Cell,Harvard/XVIVO,https://www.youtube.com/watch?v=wJyUtbn0O5Y,~8 min,Stunning but fast; no narration; advanced,,,,deep,,,5,high,,,V0362
11A2,video,A Tour of the Cell: Crash Course Biology #23,Crash Course,https://www.youtube.com/watch?v=jsDxw63QqK0,~13 min,"Pre-teach: organelle, nucleus, endoplasmic reticulum, golgi apparatus, vesicle, endosymbiosis",,,fast,medium,,,4,high,Crash Course Biology,,V0525
