topic_code,type,title,provider,url,duration,notes,is_primary,rank,pace,lod,breadth,dok,wida,visuals,series,prereq
1.1,lab,SageModeler: Build system models and test predictions,Concord Consortium,https://sagemodeler.concord.org/,,,yes,1,,,,,,,,
1.1,video,Systems Thinking - Bozeman Science,Bozeman Science Ecology,https://www.youtube.com/@baborozeman,,,yes,1,,,,,,,,
1.1,video,Systems Thinking: A Cautionary Tale,TED-Ed,https://www.youtube.com/watch?v=Mp-DSBCHnPE,,,yes,1,,,,,,,TED-Ed,
1.1,simulation,What Is a System - En-ROADS Model,En-ROADS Climate,https://en-roads.climateinteractive.org/,,,yes,1,,,,,,,,
1.1,reading,What Is a System? - CK-12,CK-12 Ecology,https://www.ck12.org/earth-science/earth-system/,,,yes,1,,,,,,,,
1.1,video,What is a System? Introduction to Systems Thinking - TED-Ed,TED-Ed,https://ed.ted.com/,,,yes,1,,,,,,,TED-Ed,
1.1,video,Introduction to Systems Thinking,Systems Innovation,https://www.youtube.com/watch?v=VwnSwnNksTo,,,,2,,,,,,,,
1.1,lab,Systems Thinking Virtual Lab: Build and test system models,Concord Consortium,https://learn.concord.org/resources/systems-thinking,,,,2,,,,,,,,
1.1,worksheet,Systems Thinking Worksheet - Waters Center,Waters Center,https://waterscenterst.org/,,,,2,,,,,,,,
1.1,video,What Is a System? - Systems Thinking Basics,Kurzgesagt Environment,https://www.youtube.com/watch?v=lhbLNBqhQkc,,,,2,,,,,,,,
1.1,reading,What is Systems Thinking - Waters Center,Waters Center,https://waterscenterst.org/systems-thinking-tools-and-strategies/,,,,2,,,,,,,,
1.1,audio,What is a System? Introduction to systems thinking,Systems Thinking Podcast,https://thesystemsthinker.com/,,,,2,,,,,,,,
1.1,audio,Outrage and Optimism: Systems Thinking for Climate,Outrage+Optimism,https://open.spotify.com/show/2FjnE8EVBXM3ZTMtSElFMG,,,,3,,,,,,,,
1.2,lab,Bathtub Dynamics Lab: Visualize stocks and flows with carbon bathtub model,Climate Interactive,https://www.climateinteractive.org/tools/bathtub/,,,yes,1,,,,,,,,
1.2,simulation,Stocks and Flows Climate Model,En-ROADS Climate,https://en-roads.climateinteractive.org/,,,yes,1,,,,,,,,
1.2,interactive,Stocks and Flows Interactive: Drag-and-drop system dynamics builder,Concord Consortium,https://sagemodeler.concord.org/,,,yes,1,,,,,,,,
1.2,video,The Carbon Bathtub: Understanding Stocks and Flows - National Geographic,National Geographic,https://education.nationalgeographic.org/,,,yes,1,,,,,,,,
1.2,reading,Stocks and Flows - Systems Thinking,CK-12 Ecology,https://www.ck12.org/earth-science/,,,,2,,,,,,,,
1.2,video,Stocks and Flows - Systems Thinking Introduction,Bozeman Science Ecology,https://www.youtube.com/watch?v=OoJsPvmFixU,,,,2,,,,,,,,
1.2,reading,Stocks and Flows - Waters Center,Waters Center,https://waterscenterst.org/,,,,2,,,,,,,,
1.2,worksheet,Stocks and Flows Worksheet: Practice identifying stocks and flows in systems,Climate Interactive,https://www.climateinteractive.org/tools/,,,,2,,,,,,,,
1.2,audio,Stocks and Flows in Environmental Systems: Carbon bathtub analogy,TED Radio Hour,https://www.npr.org/programs/ted-radio-hour/,,,,2,,,,,,,,
1.2,video,Stocks and Flows in Systems,Donella Meadows Project,https://www.youtube.com/watch?v=LaYv_iEjdJE,,,,2,,,,,,,,
1.2,video,Stocks and Flows: The Building Blocks of System Dynamics,Systems Innovation,https://www.youtube.com/@systemsinnovation,,,,2,,,,,,,,
1.2,lab,Systems Dynamics Stocks and Flows Lab: Model accumulation in systems,Concord Consortium,https://learn.concord.org/resources/stocks-flows,,,,2,,,,,,,,
1.2,audio,Outrage and Optimism: Systems Thinking,Outrage+Optimism,https://open.spotify.com/show/2FjnE8EVBXM3ZTMtSElFMG,,,,3,,,,,,,,
1.2,worksheet,Stocks and Flows Worksheet,Systems Innovation,https://www.systemsinnovation.io/,,,,3,,,,,,,,
1.2,reading,Thinking in Systems - Donella Meadows Summary,Donella Meadows Institute,https://donellameadows.org/systems-thinking-resources/,,,,3,,,,,,,,
1.3,simulation,System Boundaries Simulation: Define and test boundaries in ecosystem models,Concord Consortium,https://sagemodeler.concord.org/,,,yes,1,,,,,,,,1.1
1.3,video,What Counts as an Ecosystem? Boundaries in Ecology,Bozeman Science,http://www.bozemanscience.com/ap-es-007-ecosystem-ecology,,,yes,1,,,,,,,Bozeman Science APES,1.1
