topic_code,type,title,provider,url,duration,notes,is_primary,rank,pace,lod,breadth,dok,wida,visuals,series,prereq
2.1a,video,The Nucleus: Crash Course Chemistry #1,Crash Course,https://www.youtube.com/watch?v=FSyAehMdpyI,,,,,,,,,,,Crash Course Chemistry,
2.1a,video,Ionic Bonding Introduction - Tyler DeWitt,Tyler DeWitt,https://youtu.be/Qf07-8Jhhpc,,,,,,,,,,,Tyler DeWitt Chemistry,
2.1a,simulation,Build an Atom,PhET,https://phet.colorado.edu/en/simulations/build-an-atom,,,,,,,,,,,PhET Simulations,
2.4a,video,The Periodic Table: Crash Course Chemistry #4,Crash Course,https://www.youtube.com/watch?v=0RRVV4Diomg,,,,,,,,,,,Crash Course Chemistry,
2.3a,video,The Electron: Crash Course Chemistry #5,Crash Course,https://www.youtube.com/watch?v=rcKilE9CdaA,,,,,,,,,,,Crash Course Chemistry,
6.7,video,Stoichiometry: Crash Course Chemistry #6,Crash Course,https://www.youtube.com/watch?v=UL1jmJaUkaQ,,,,,,,,,,,Crash Course Chemistry,
8.2,video,Water and Solutions: Crash Course Chemistry #7,Crash Course,https://www.youtube.com/watch?v=AN4KifV12DA,,,,,,,,,,,Crash Course Chemistry,
9.6,video,Acid-Base Reactions: Crash Course Chemistry #8,Crash Course,https://www.youtube.com/watch?v=ANi709MYnWg,,,,,,,,,,,Crash Course Chemistry,
4.2,video,How to Speak Chemistrian: Crash Course Chemistry #11,Crash Course,https://www.youtube.com/watch?v=bka20Q9TN6M,,,,,,,,,,,Crash Course Chemistry,
7.8a,video,The Ideal Gas Law: Crash Course Chemistry #12,Crash Course,https://www.youtube.com/watch?v=BxUS1K7mPQk,,,,,,,,,,,Crash Course Chemistry,
10.1a,video,Energy and Chemistry: Crash Course Chemistry #17,Crash Course,https://www.youtube.com/watch?v=GqtUWyDR1fg,,,,,,,,,,,Crash Course Chemistry,
10.3,video,Enthalpy: Crash Course Chemistry #18,Crash Course,https://www.youtube.com/watch?v=SV7U4yAXL5I,,Not ELL-friendly; Low usability,,,,,,,,,Crash Course Chemistry,
10.4,video,Calorimetry: Crash Course Chemistry #19,Crash Course,https://www.youtube.com/watch?v=JuWtBR-rDQk,,,,,,,,,,,Crash Course Chemistry,
3.3,video,Ionic Bonding Introduction,Tyler DeWitt,https://youtu.be/Qf07-8Jhhpc,,,,,,,,,,,Tyler DeWitt Chemistry,
4.1a,video,Writing Ionic Formulas,Tyler DeWitt,https://www.youtube.com/watch?v=URc75hoKGLY,,,,,,,,,,,Tyler DeWitt Chemistry,
4.3,video,What is a Polyatomic Ion,Tyler DeWitt,https://www.youtube.com/watch?v=MJZeZvDxcx8,,,,,,,,,,,Tyler DeWitt Chemistry,
4.4,video,Writing Formulas with Polyatomic Ions,Tyler DeWitt,https://www.youtube.com/watch?v=p9iQ5Qn42DM,,,,,,,,,,,Tyler DeWitt Chemistry,
2.2c,simulation,Isotopes and Atomic Mass,PhET,https://phet.colorado.edu/en/simulations/isotopes-and-atomic-mass,,,,,,,,,,,PhET Simulations,
5.3b,simulation,Balancing Chemical Equations,PhET,https://phet.colorado.edu/en/simulations/balancing-chemical-equations,,,,,,,,,,,PhET Simulations,
3.6,simulation,Molecule Shapes,PhET,https://phet.colorado.edu/en/simulations/molecule-shapes,,,,,,,,,,,PhET Simulations,
3.7b,simulation,Molecule Polarity,PhET,https://phet.colorado.edu/en/simulations/molecule-polarity,,,,,,,,,,,PhET Simulations,
1.4,simulation,States of Matter: Basics,PhET,https://phet.colorado.edu/en/simulations/states-of-matter-basics,,,,,,,,,,,PhET Simulations,
7.1,simulation,Gas Properties,PhET,https://phet.colorado.edu/en/simulations/gas-properties,,,,,,,,,,,PhET Simulations,
7.3,simulation,Gases Intro,PhET,https://phet.colorado.edu/en/simulations/gases-intro,,,,,,,,,,,PhET Simulations,
9.3,simulation,pH Scale,PhET,https://phet.colorado.edu/en/simulations/ph-scale,,,,,,,,,,,PhET Simulations,
9.5,simulation,Acid-Base Solutions,PhET,https://phet.colorado.edu/en/simulations/acid-base-solutions,,,,,,,,,,,PhET Simulations,
8.5b,simulation,Molarity,PhET,https://phet.colorado.edu/en/simulations/molarity,,,,,,,,,,,PhET Simulations,
8.5a,simulation,Concentration,PhET,https://phet.colorado.edu/en/simulations/concentration,,,,,,,,,,,PhET Simulations,
10.1b,simulation,Energy Forms and Changes,PhET,https://phet.colorado.edu/en/simulations/energy-forms-and-changes,,,,,,,,,,,PhET Simulations,
6.8b,simulation,Reactants Products and Leftovers,PhET,https://phet.colorado.edu/en/simulations/reactants-products-and-leftovers,,,,,,,,,,,PhET Simulations,
8.6,simulation,Beer's Law Lab,PhET,https://phet.colorado.edu/en/simulations/beers-law-lab,,,,,,,,,,,PhET Simulations,
1.5a,simulation,Density,PhET,https://phet.colorado.edu/en/simulations/density,,,,,,,,,,,PhET Simulations,
1.6b,simulation,Sugar and Salt Solutions,PhET,https://phet.colorado.edu/en/simulations/sugar-and-salt-solutions,,,,,,,,,,,PhET Simulations,
2.6,simulation,Atomic Interactions,PhET,https://phet.colorado.edu/en/simulations/atomic-interactions,,,,,,,,,,,PhET Simulations,
8.1a,simulation,Diffusion,PhET,https://phet.colorado.edu/en/simulations/diffusion,,,,,,,,,,,PhET Simulations,
1.1,reading,CK-12 Chemistry FlexBook: Introduction to Chemistry,CK-12,https://flexbooks.ck12.org/cbook/ck-12-chemistry-flexbook-2.0/section/1.1/primary/lesson/chemistry-is-a-science-chem,,,,,,,,,,,CK-12 FlexBooks,
1.4,reading,CK-12 Chemistry: Matter and Its Properties,CK-12,https://flexbooks.ck12.org/cbook/ck-12-chemistry-flexbook-2.0/section/3.1/primary/lesson/matter-chem,,,,,,,,,,,CK-12 FlexBooks,
2.1a,reading,CK-12 Chemistry: Atomic Structure,CK-12,https://flexbooks.ck12.org/cbook/ck-12-chemistry-flexbook-2.0/section/4.1/primary/lesson/evolution-of-the-atomic-model-chem,,,,,,,,,,,CK-12 FlexBooks,
2.4a,reading,CK-12 Chemistry: The Periodic Table,CK-12,https://flexbooks.ck12.org/cbook/ck-12-chemistry-flexbook-2.0/section/6.1/primary/lesson/history-of-the-periodic-table-chem,,,,,,,,,,,CK-12 FlexBooks,
3.3,reading,CK-12 Chemistry: Ionic Bonds and Formulas,CK-12,https://flexbooks.ck12.org/cbook/ck-12-chemistry-flexbook-2.0/section/9.1/primary/lesson/ionic-bonds-chem,,,,,,,,,,,CK-12 FlexBooks,
3.4,reading,CK-12 Chemistry: Covalent Bonds and Formulas,CK-12,https://flexbooks.ck12.org/cbook/ck-12-chemistry-flexbook-2.0/section/10.1/primary/lesson/covalent-bonds-chem,,,,,,,,,,,CK-12 FlexBooks,
5.3b,reading,CK-12 Chemistry: Balancing Chemical Equations,CK-12,https://flexbooks.ck12.org/cbook/ck-12-chemistry-flexbook-2.0/section/11.1/primary/lesson/chemical-reactions-chem,,,,,,,,,,,CK-12 FlexBooks,
6.1a,reading,CK-12 Chemistry: The Mole Concept,CK-12,https://flexbooks.ck12.org/cbook/ck-12-chemistry-flexbook-2.0/section/12.1/primary/lesson/the-mole-chem,,,,,,,,,,,CK-12 FlexBooks,
6.7,reading,CK-12 Chemistry: Stoichiometry,CK-12,https://flexbooks.ck12.org/cbook/ck-12-chemistry-flexbook-2.0/section/12.3/primary/lesson/stoichiometric-calculations-chem,,,,,,,,,,,CK-12 FlexBooks,
7.4,reading,CK-12 Chemistry: Gas Laws,CK-12,https://flexbooks.ck12.org/cbook/ck-12-chemistry-flexbook-2.0/section/14.1/primary/lesson/gas-pressure-chem,,,,,,,,,,,CK-12 FlexBooks,
9.3,reading,CK-12 Chemistry: Acids and Bases,CK-12,https://www.ck12.org/c/chemistry/acids-and-bases/,,,,,,,,,,,CK-12 FlexBooks,
8.2,reading,CK-12 Chemistry: Solutions,CK-12,https://www.ck12.org/c/chemistry/solutions/,,,,,,,,,,,CK-12 FlexBooks,
10.5,reading,CK-12 Chemistry: Thermochemistry,CK-12,https://www.ck12.org/c/chemistry/thermochemistry/,,,,,,,,,,,CK-12 FlexBooks,
1.1,reading,LibreTexts: The Chemical World,Chemistry LibreTexts,https://chem.libretexts.org/Bookshelves/Introductory_Chemistry/Introductory_Chemistry_(LibreTexts)/01:_The_Chemical_World,,Not ELL-friendly,,,,,,,,,Chemistry LibreTexts,
2.1a,reading,LibreTexts: Introductory Chemistry - Atomic Structure,Chemistry LibreTexts,https://chem.libretexts.org/Bookshelves/Introductory_Chemistry/Introductory_Chemistry_(LibreTexts)/04:_Atoms_and_Elements,,Not ELL-friendly,,,,,,,,,Chemistry LibreTexts,
2.4a,reading,LibreTexts: The Periodic Table,Chemistry LibreTexts,https://chem.libretexts.org/Bookshelves/Introductory_Chemistry/Introductory_Chemistry_(LibreTexts)/05:_The_Periodic_Table,,Not ELL-friendly,,,,,,,,,Chemistry LibreTexts,
3.3,reading,LibreTexts: Ionic and Covalent Bonding,Chemistry LibreTexts,https://chem.libretexts.org/Bookshelves/Introductory_Chemistry/Introductory_Chemistry_(LibreTexts)/09:_Chemical_Bonding,,Not ELL-friendly,,,,,,,,,Chemistry LibreTexts,
5.3b,reading,LibreTexts: Chemical Reactions and Equations,Chemistry LibreTexts,https://chem.libretexts.org/Bookshelves/Introductory_Chemistry/Introductory_Chemistry_(LibreTexts)/07:_Chemical_Reactions,,Not ELL-friendly,,,,,,,,,Chemistry LibreTexts,
6.1a,reading,LibreTexts: The Mole,Chemistry LibreTexts,https://chem.libretexts.org/Bookshelves/Introductory_Chemistry/Introductory_Chemistry_(LibreTexts)/06:_The_Mole_and_Molar_Mass,,Not ELL-friendly,,,,,,,,,Chemistry LibreTexts,
9.3,reading,LibreTexts: Acids and Bases,Chemistry LibreTexts,https://chem.libretexts.org/Bookshelves/Introductory_Chemistry/Introductory_Chemistry_(LibreTexts)/14:_Acids_and_Bases,,Not ELL-friendly,,,,,,,,,Chemistry LibreTexts,
2.4a,interactive,Ptable - Interactive Periodic Table,Ptable,https://ptable.com/,,,,,,,,,,,,
2.4b,interactive,Ptable - Interactive Periodic Table,Ptable,https://ptable.com/,,,,,,,,,,,,
3.6,interactive,Molview - 3D Molecular Viewer,MolView,https://molview.org/,,,,,,,,,,,,
3.5,interactive,Molview - 3D Molecule Builder,MolView,https://molview.org/,,,,,,,,,,,,
2.1a,interactive,Build an Atom - PhET Interactive,PhET,https://phet.colorado.edu/en/simulations/build-an-atom,,,,,,,,,,,PhET Simulations,
5.3b,interactive,Balancing Chemical Equations - PhET Interactive,PhET,https://phet.colorado.edu/en/simulations/balancing-chemical-equations,,,,,,,,,,,PhET Simulations,
9.3,interactive,pH Scale - PhET Interactive,PhET,https://phet.colorado.edu/en/simulations/ph-scale,,,,,,,,,,,PhET Simulations,
8.5b,interactive,Molarity - PhET Interactive,PhET,https://phet.colorado.edu/en/simulations/molarity,,,,,,,,,,,PhET Simulations,
9.7a,lab,ChemCollective Virtual Lab: Titration,ChemCollective,https://chemcollective.org/vlab/vlab.php,,Not ELL-friendly,,,,,,,,,ChemCollective Virtual Labs,
